,Model,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,,,,,,
Model modelBW,111.8078451,113.6315799,92.80333352,99.84152007,94.11988115,101.5465922,107.7798293,105.9836121,90.88825488,102.5171595,109.9646981,107.0805032,107.4692655,108.4343262,106.993257,,,,,,,
Model modelBW_inc,67.63660908,72.17013454,72.21281219,69.37718225,57.0976634,52.42961287,51.86279559,51.8229208,52.21971464,51.98888731,52.03090978,52.15697789,52.97671294,61.75251842,52.30777216,,,,,,,
Model modelBW_simple,82.83352566,77.63279247,74.22519469,75.15832663,75.29280353,76.40037656,75.58351254,76.52559876,76.82449412,75.74938178,75.88394213,,,,,,,,,,,
Model modelBW_aug_3,74.7693119,80.924474,81.46051478,80.95652676,80.55061793,80.59045887,81.39634657,82.238837,84.14951348,82.12477684,80.95860434,83.37461591,,,,,,,,,,
Model modelBW_aug_4,88.29470372,85.220716,84.30110192,80.19281387,80.81396437,86.75978231,80.31874275,81.32994747,80.2968936,80.64492321,83.78774643,81.436625,78.90029526,78.8078115,78.61013985,77.9841249,78.75015759,,,,,
Model modelBW_aug_5,87.71182632,85.80340242,84.23770213,83.41270375,83.2759788,84.31312871,82.85399723,85.40221143,91.96672654,84.65012956,82.57806563,83.33732486,86.03992844,85.96034575,82.98235631,88.24218893,84.17193389,82.35803604,82.46081758,77.5358026,66.07895994,70.06708193
Model modelBW_aug_l1,84.0290184,83.53355289,74.570292,76.58358288,76.08709764,69.41682196,106.3038728,95.96722484,106.2436829,77.61626339,71.99886632,73.02616024,89.67499161,84.8535862,79.24478459,80.58538508,,,,,,
Model modelBW_aug_l1_5,89.07024431,80.64912462,77.53705454,78.74310732,78.33802986,77.84592819,78.38302112,78.08687711,65.53706026,64.78763223,64.15789843,64.1211617,63.74554849,65.09814334,68.77143621,63.61095691,64.05572891,64.24426556,64.67754984,,,
Model modelBW_aug_l1_4,84.6821425,81.31720042,75.37896442,80.52566767,70.04895449,80.09228539,75.09589148,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,nr,,,,,,,,,,,,,,,,,,,,,
Model modelBW,15,104.0574438,,,,,,,,,,,,,,,,,,,,
Model modelBW_inc,15,58.00288159,,,,,,,,,,,,,,,,,,,,
Model modelBW_simple,11,76.5554499,,,,,,,,,,,,,,,,,,,,
Model modelBW_aug_3,12,81.12454987,,,,,,,,,,,,,,,,,,,,
Model modelBW_aug_4,17,81.55591116,,,,,,,,,,,,,,,,,,,,
Model modelBW_aug_5,22,82.97457495,,,,,,,,,,,,,,,,,,,,
Model modelBW_aug_l1,16,83.10844898,,,,,,,,,,,,,,,,,,,,
Model modelBW_aug_l1_5,19,71.12951415,,,,,,,,,,,,,,,,,,,,
Model modelBW_aug_l1_4,7,78.1630152,,,,,,,,,,,,,,,,,,,,
